month,day,count
10,1,1247
10,10,1974
10,11,1798
10,12,2120
10,13,2077
10,14,2083
10,15,1935
10,16,2006
10,17,1456
10,18,1092
10,19,1641
10,2,382
10,20,1936
10,21,2054
10,22,2153
10,23,2079
10,24,1673
10,25,1468
10,26,1697
10,27,1763
10,28,868
10,29,1901
10,3,966
10,30,1932
10,31,1684
10,4,1367
10,5,1846
10,6,2174
10,7,2114
10,8,2218
10,9,1677
11,1,1309
11,10,697
11,11,1779
11,12,1371
11,13,1638
11,14,1103
11,15,1103
11,16,1691
11,17,1619
11,18,1664
11,19,781
11,2,1725
11,20,1465
11,21,1168
11,22,960
11,23,1120
11,24,1164
11,25,1225
11,26,568
11,27,987
11,28,829
11,29,634
11,3,2011
11,30,1120
11,4,1938
11,5,1539
11,6,1965
11,7,1445
11,8,1337
11,9,1681
12,1,556
12,10,1391
12,11,1516
12,12,1325
12,13,1218
12,14,1206
12,15,1299
12,16,1369
12,17,690
12,18,1040
12,19,622
12,2,905
12,20,492
12,21,1045
12,22,706
12,23,422
12,24,485
12,25,252
12,26,451
12,27,419
12,28,674
12,29,501
12,3,1302
12,30,821
12,31,809
12,4,1319
12,5,966
12,6,943
12,7,1299
12,8,1328
12,9,1395
1,1,639
1,10,576
1,11,767
1,12,868
1,13,716
1,14,891
1,15,999
1,16,717
1,17,364
1,18,396
1,19,521
1,2,549
1,20,740
1,21,784
1,22,567
1,25,1
1,26,6
1,27,317
1,28,565
1,29,604
1,3,511
1,30,437
1,31,596
1,4,672
1,5,629
1,6,767
1,7,848
1,8,981
1,9,753
2,1,685
2,10,677
2,11,605
2,12,521
2,13,215
2,14,179
2,15,206
2,16,500
2,17,826
2,18,746
2,19,749
2,2,969
2,20,877
2,21,750
2,22,1000
2,23,484
2,24,406
2,25,721
2,26,696
2,27,631
2,28,1081
2,29,981
2,3,590
2,4,930
2,5,661
2,6,669
2,7,527
2,8,832
2,9,571
3,1,1137
3,10,1677
3,11,1546
3,12,1302
3,13,689
3,14,387
3,15,1031
3,16,1451
3,17,1438
3,18,1493
3,19,757
3,2,825
3,20,458
3,21,1108
3,22,1308
3,23,1682
3,24,1626
3,25,1565
3,26,1354
3,27,805
3,28,1064
3,29,1429
3,3,842
3,30,1461
3,31,1575
3,4,617
3,5,660
3,6,585
3,7,1084
3,8,1453
3,9,1694
4,1,1510
4,10,850
4,11,1368
4,12,1044
4,13,1500
4,14,1570
4,15,1614
4,16,1779
4,17,1751
4,18,1860
4,19,1666
4,2,1041
4,20,1775
4,21,1917
4,22,1851
4,23,1325
4,24,1789
4,25,1918
4,26,1735
4,27,1678
4,28,1115
4,29,1365
4,3,546
4,30,1677
4,4,916
4,5,1057
4,6,1327
4,7,1142
4,8,1346
4,9,292
5,1,470
5,10,1759
5,11,2016
5,12,2322
5,13,1672
5,14,2056
5,15,1490
5,16,2091
5,17,1331
5,18,2179
5,19,2527
5,2,1496
5,20,2760
5,21,1000
5,22,1485
5,23,1964
5,24,2426
5,25,2466
5,26,2393
5,27,2281
5,28,1996
5,29,1727
5,3,1353
5,30,1702
5,31,2400
5,4,1525
5,5,1707
5,6,505
5,7,1426
5,8,1528
5,9,1869
6,1,2376
6,10,2842
6,11,2416
6,12,2268
6,13,2569
6,14,2736
6,15,2682
6,16,1677
6,17,2714
6,18,2216
6,19,1839
6,2,2594
6,20,2602
6,21,2566
6,22,2625
6,23,2123
6,24,2760
6,25,2345
6,26,2365
6,27,2249
6,28,2331
6,29,2973
6,3,1788
6,30,2790
6,4,2337
6,5,1653
6,6,2498
6,7,2532
6,8,2334
6,9,2778
7,1,2438
7,10,2465
7,11,2889
7,12,2932
7,13,2368
7,14,2638
7,15,2780
7,16,2249
7,17,2332
7,18,2270
7,19,3023
7,2,2594
7,20,2918
7,21,3029
7,22,2705
7,23,2004
7,24,2328
7,25,2065
7,26,2927
7,27,2950
7,28,2196
7,29,2399
7,3,2410
7,30,1626
7,31,1962
7,4,2264
7,5,2400
7,6,2601
7,7,2436
7,8,2423
7,9,2041
8,1,2364
8,10,2734
8,11,2448
8,12,2231
8,13,1669
8,14,1556
8,15,2313
8,16,2567
8,17,2628
8,18,2505
8,19,2603
8,2,2860
8,20,2271
8,21,1496
8,22,2797
8,23,2982
8,24,2837
8,25,2857
8,26,2806
8,27,2237
8,28,2160
8,29,2607
8,3,2956
8,30,2915
8,31,2637
8,4,2829
8,5,2886
8,6,2269
8,7,2468
8,8,2692
8,9,2951
9,1,2428
9,10,2347
9,11,2432
9,12,3022
9,13,3196
9,14,2954
9,15,2969
9,16,3109
9,17,2657
9,18,2282
9,19,1527
9,2,3059
9,20,3032
9,21,3154
9,22,3070
9,23,3108
9,24,3679
9,25,2506
9,26,2856
9,27,2869
9,28,2477
9,29,1120
9,3,2440
9,30,1450
9,4,2923
9,5,2443
9,6,2748
9,7,2826
9,8,2711
9,9,2759
